Mileage,Cylinder,Liter,Cruise,Sound,Leather,Price
24323,6,3.8,1,1,0,19981.1279114169
27839,6,3.8,1,1,0,19425.848616327
29187,6,3.8,1,1,1,19191.9896168454
31324,6,3.8,1,1,1,19641.7419023285
2308,6,3.8,1,1,0,25589.9831546314
10014,6,3.8,1,1,0,25098.6290571529
18910,6,3.8,1,0,1,23420.7069479383
20105,6,3.8,1,0,0,22661.0484850784
20453,6,3.8,1,1,0,23493.0822950036
22287,6,3.8,1,1,1,22435.2028189367
23237,6,3.8,1,1,0,21878.1199960255
23798,6,3.8,1,0,1,23077.5659102738
25489,6,3.8,1,1,1,21698.0147455068
25564,6,3.8,1,1,1,21831.8229163745
4695,6,3.8,1,1,0,26831.1940371618
9795,6,3.8,1,1,0,26060.3353495608
12052,6,3.8,1,1,0,26781.8146452916
13050,6,3.8,1,1,0,26302.0742843396
17335,6,3.8,1,0,1,26190.271467539
17480,6,3.8,1,1,0,25508.2109561095
24027,6,3.8,1,0,1,23348.0169540994
25387,6,3.8,1,0,1,23406.6898198106
25869,6,3.8,1,0,0,23159.5437816049
37128,6,3.8,1,1,1,21536.7417301751
2202,8,5.7,1,1,1,51154.0472155256
6685,8,5.7,1,0,1,49248.1589666803
15343,8,5.7,1,1,1,46747.6732703394
21341,8,5.7,1,0,1,44130.6170551092
21367,8,5.7,1,1,1,44084.9142115635
23371,8,5.7,1,0,1,43892.4678804136
23751,8,5.7,1,0,1,44300.6399582244
24052,8,5.7,1,0,1,42677.6011170355
25199,8,5.7,1,1,1,43374.0524199582
30082,8,5.7,1,1,1,40619.0722701075
6598,6,2.8,1,1,1,33417.9650130136
10625,6,2.8,1,1,1,30957.0807492764
11013,6,2.8,1,1,1,31431.1303699804
14937,6,2.8,1,1,1,30781.5156334759
17094,6,2.8,1,1,1,30646.4377005909
17870,6,2.8,1,1,1,30792.149028548
18449,6,2.8,1,1,1,30392.7501583834
21039,6,2.8,1,0,1,28817.081846577
21056,6,2.8,1,1,1,29275.2087136944
27484,6,2.8,1,1,1,28040.1285291642
14095,8,4.6,1,0,1,39801.5513542673
14743,8,4.6,1,0,1,40335.7373136253
16041,8,4.6,1,0,1,39307.0091649632
17138,8,4.6,1,0,1,38600.2395609372
18661,8,4.6,1,0,1,38445.8971686577
21966,8,4.6,1,0,1,36077.7961212207
24415,8,4.6,1,1,1,35866.5827089002
25163,8,4.6,1,0,1,35338.6536895564
25339,8,4.6,1,1,1,36154.30354834
25421,8,4.6,1,0,1,34685.6629801958
5499,8,4.6,1,0,1,42820.3290225306
8125,8,4.6,1,0,1,41378.0480886471
12791,8,4.6,1,1,1,40856.3908954186
14452,8,4.6,1,0,1,41419.0372622102
21593,8,4.6,1,0,1,37510.2535700618
22211,8,4.6,1,0,1,37215.1693828106
25153,8,4.6,1,0,1,36332.8946850132
26250,8,4.6,1,1,1,36245.1582278249
36074,8,4.6,1,0,1,32954.1413357696
41829,8,4.6,1,1,1,32537.1867506849
6447,8,4.6,1,0,1,35715.7685557755
10555,8,4.6,1,1,1,35651.6800199489
11975,8,4.6,1,1,1,35129.3407710218
13449,8,4.6,1,1,1,35165.7593689444
17508,8,4.6,1,0,1,32501.2451886184
18661,8,4.6,1,0,1,33220.0284461651
20910,8,4.6,1,0,1,32509.4782883263
23124,8,4.6,1,1,1,31132.2134919243
26222,8,4.6,1,0,1,31181.7151590146
27544,8,4.6,1,1,1,31059.1810267505
2846,6,3.6,1,0,1,42741.5236662022
7476,6,3.6,1,1,1,40966.6074122161
13973,6,3.6,1,1,1,38795.379094999
16754,6,3.6,1,0,1,38297.4625362805
19100,6,3.6,1,0,1,37192.8963660869
21778,6,3.6,1,0,1,36210.1229959601
22042,6,3.6,1,1,1,36633.6338191184
23056,6,3.6,1,1,1,35895.4994099277
25796,6,3.6,1,1,1,34974.3780366418
35326,6,3.6,1,1,1,32038.3395625994
788,8,4.6,1,0,1,48310.3295448604
2616,8,4.6,1,1,1,48365.9808965303
13829,8,4.6,1,1,1,45061.9519351521
15104,8,4.6,1,0,1,44205.8758848709
18581,8,4.6,1,0,1,42377.9554420775
20575,8,4.6,1,0,1,41671.5831400912
23861,8,4.6,1,1,1,41516.4298622847
25717,8,4.6,1,1,1,41053.4821681014
31303,8,4.6,1,1,1,38208.5010233112
31587,8,4.6,1,0,1,39072.3920526084
583,8,4.6,1,1,1,70755.4667165429
6420,8,4.6,1,1,1,68566.1871889452
7892,8,4.6,1,1,1,69133.7317224283
12021,8,4.6,1,1,1,66374.307040191
15600,8,4.6,1,1,1,65281.4812369002
18200,8,4.6,1,1,1,63913.117247728
23193,8,4.6,1,1,1,60567.5490933118
29260,8,4.6,1,1,1,57154.4434368902
31805,8,4.6,1,0,1,55639.087653624
42691,8,4.6,1,1,1,52001.9943785519
10011,4,1.6,0,0,1,12146.188030901
12101,4,1.6,0,0,1,12163.8204246793
19699,4,1.6,0,0,1,11472.0227614221
20100,4,1.6,0,1,0,11017.1687101034
20334,4,1.6,1,0,0,11096.8572677413
22225,4,1.6,0,0,0,10386.0402183223
22484,4,1.6,0,1,1,11137.0456549156
24568,4,1.6,1,0,1,11045.1088444444
27906,4,1.6,0,0,0,10777.0525369432
29680,4,1.6,0,0,1,9928.18817462
3629,4,1.6,0,1,0,12649.1108932523
4142,4,1.6,0,1,0,12314.5912168875
11156,4,1.6,0,1,1,11318.0080892492
11981,4,1.6,1,1,1,12409.9490936339
13404,4,1.6,1,1,0,11555.2674020388
15253,4,1.6,1,0,0,11700.1114861059
19945,4,1.6,0,0,0,11215.0186466687
23963,4,1.6,1,1,0,10144.9520806874
30948,4,1.6,0,1,0,10491.0751985073
37345,4,1.6,0,1,1,9954.0541735153
20156,4,1.6,0,1,1,11031.1299312763
20186,4,1.6,1,1,1,11343.0540104663
21421,4,1.6,0,1,1,11391.2137175199
21427,4,1.6,1,1,1,11247.8625348134
23119,4,1.6,0,1,1,10921.9453718505
23121,4,1.6,0,1,1,11179.9535714763
25107,4,1.6,0,1,1,11394.8864029007
25476,4,1.6,0,1,1,11070.0606430562
25746,4,1.6,1,1,1,11013.8713677377
30056,4,1.6,1,1,1,11115.0136403057
7278,4,1.6,0,0,0,11918.4560683637
10213,4,1.6,0,0,1,12408.8061477178
14627,4,1.6,0,1,0,11302.9029854314
19014,4,1.6,0,1,1,11615.0210175723
21013,4,1.6,1,1,1,10805.1300898776
22380,4,1.6,0,1,0,11169.9183881598
25065,4,1.6,0,1,0,10770.1065537592
25869,4,1.6,0,0,0,10872.0139256473
27776,4,1.6,1,0,0,10921.9453718505
34621,4,1.6,0,1,0,9919.0481851503
266,4,1.6,1,0,1,10813.3435213691
4716,4,1.6,1,1,0,11167.8610026522
6699,4,1.6,0,1,1,10897.0765061322
14200,4,1.6,1,0,0,10106.0164308559
14521,4,1.6,0,1,0,10354.043852073
16521,4,1.6,1,1,1,10287.9773632912
20836,4,1.6,1,1,0,9720.978889532
22169,4,1.6,0,0,1,9506.0479365628
22986,4,1.6,0,1,1,9789.0376755218
29992,4,1.6,1,0,1,9220.8296768938
7091,4,1.6,1,0,0,10971.095614346
14438,4,1.6,0,0,1,10315.0182335679
19183,4,1.6,0,0,0,9654.0601415554
19273,4,1.6,1,1,0,9563.7893088035
19565,4,1.6,0,1,1,9665.8488597254
24842,4,1.6,1,0,0,9482.2194038519
25216,4,1.6,0,0,0,8638.9308952607
26191,4,1.6,0,0,1,9041.9062544231
32914,4,1.6,1,1,0,8870.9473158828
35299,4,1.6,0,0,0,8768.9985850476
7372,4,2.2,1,1,1,13007.9841778516
13607,4,2.2,0,1,1,13041.8739972685
19136,4,2.2,0,1,1,12045.9207049382
19712,4,2.2,0,1,1,12469.5275763349
22405,4,2.2,0,1,1,11539.8456500509
23103,4,2.2,0,1,1,11726.0029740958
23512,4,2.2,1,1,1,12207.8729264778
27364,4,2.2,1,1,1,11203.1461094233
31436,4,2.2,1,1,1,10788.9703604113
34447,4,2.2,1,1,1,11149.6183039318
1160,4,2.2,1,1,1,14584.4481222842
10210,4,2.2,1,1,1,13681.6980034947
17741,4,2.2,0,1,1,13446.2134153449
19347,4,2.2,0,1,1,12327.6416083986
19612,4,2.2,1,1,1,12274.957581255
22571,4,2.2,1,1,1,12630.775033594
22771,4,2.2,0,1,1,12425.389171155
24568,4,2.2,1,1,1,12319.6962456923
25816,4,2.2,0,1,1,12549.8923338761
30297,4,2.2,1,1,1,12234.8880532682
2464,4,2.2,0,1,1,14894.9825925289
11322,4,2.2,1,1,1,14198.0924588603
11488,4,2.2,1,1,1,14678.1053344102
14630,4,2.2,0,1,1,13167.7023212763
18910,4,2.2,1,1,1,13471.0050827581
25048,4,2.2,1,1,1,12573.8999394396
25069,4,2.2,1,1,1,12383.4028106156
25862,4,2.2,0,1,1,13230.9186744652
36855,4,2.2,0,1,1,11080.5163779118
39946,4,2.2,1,1,1,11328.9588677842
4652,4,2.2,1,1,1,15053.9337347275
5189,4,2.2,0,1,1,14397.9280845869
6224,4,2.2,0,1,1,14642.3235774312
14231,4,2.2,1,1,1,13464.8028838785
17971,4,2.2,1,1,1,13678.863002609
19715,4,2.2,1,1,1,12507.4852674251
19898,4,2.2,1,1,1,13141.047950472
20682,4,2.2,1,1,1,13594.085591089
21386,4,2.2,1,1,1,12733.8579244968
28408,4,2.2,0,1,1,12230.0997724465
8427,4,2.2,0,1,1,14222.3053952433
8615,4,2.2,0,1,1,14266.9125758461
16958,4,2.2,0,1,1,14255.7476815217
18040,4,2.2,1,1,1,13762.9014468935
18533,4,2.2,1,1,1,14275.1276351584
18766,4,2.2,1,1,1,13688.0001092708
20043,4,2.2,0,1,1,13308.8337494544
20512,4,2.2,1,1,1,14145.8809893247
21684,4,2.2,0,1,1,12944.9387536629
27560,4,2.2,1,1,1,12846.0615931646
4922,4,2.2,0,1,1,14061.1227650226
14311,4,2.2,0,1,1,13072.8416305329
19816,4,2.2,1,1,1,11699.0339156388
21492,4,2.2,1,1,1,12257.1640856157
21525,4,2.2,0,1,1,11574.1738126532
24163,4,2.2,0,1,1,11539.0485332856
25014,4,2.2,1,1,1,12243.0606241256
25727,4,2.2,1,1,1,11671.8581267356
29410,4,2.2,1,1,1,11464.6288587837
38866,4,2.2,1,1,1,10546.7827451076
7695,4,2.2,0,1,1,15553.2087144133
12305,4,2.2,1,1,1,15047.0027380893
17343,4,2.2,0,1,1,13540.0416416542
17445,4,2.2,0,1,1,14077.9688527613
20309,4,2.2,1,1,1,12981.9520292971
20530,4,2.2,0,1,1,13436.0001494398
21145,4,2.2,1,1,1,13161.9428277679
23069,4,2.2,1,1,1,14220.0132151888
31199,4,2.2,1,1,1,12379.1264733486
36566,4,2.2,0,1,1,11581.9050444543
13776,4,2.2,0,1,1,14023.9385467303
19461,4,2.2,1,1,1,12810.9105849645
21796,4,2.2,1,1,1,13135.9050323183
21910,4,2.2,0,1,1,13106.9004236608
22382,4,2.2,1,1,1,12845.1742493148
22479,4,2.2,0,1,1,12570.1366810142
23200,4,2.2,1,1,1,12897.9295369167
27394,4,2.2,1,1,1,11961.6199584128
27521,4,2.2,1,1,1,12706.9113479764
28492,4,2.2,0,1,1,12487.0542927355
1169,4,2.2,0,1,1,15635.7961597274
6048,4,2.2,0,1,1,15747.8039693734
15768,4,2.2,1,1,1,14619.0785627339
20374,4,2.2,0,1,1,14185.0215527411
25845,4,2.2,1,1,1,13699.0357802751
26143,4,2.2,1,1,1,13310.0595947936
27249,4,2.2,1,1,1,13530.0686449196
27942,4,2.2,1,1,1,13019.0711364536
29891,4,2.2,1,1,1,12684.9862266111
32844,4,2.2,1,1,1,12553.0714279173
8880,4,2.2,0,1,1,14997.8843363888
12980,4,2.2,0,1,1,14847.0441508521
13828,4,2.2,1,1,1,15128.9922358386
14504,4,2.2,0,1,1,15000.9927098969
18790,4,2.2,0,1,1,14593.8540952799
21128,4,2.2,0,1,1,14304.7410353626
21611,4,2.2,1,1,1,13688.9456754793
23748,4,2.2,0,1,1,13744.8498521312
27431,4,2.2,0,1,1,13545.0308963393
34815,4,2.2,0,1,1,12741.1902325605
865,4,2.2,1,1,1,16116.8439161411
9882,4,2.2,0,1,1,16428.5789813727
14824,4,2.2,1,1,1,15084.8154042675
17158,4,2.2,1,1,1,15163.1698589644
18210,4,2.2,1,1,1,14897.0405525771
18910,4,2.2,0,1,1,14508.7500852241
19818,4,2.2,0,1,1,14418.1652909085
21181,4,2.2,1,1,1,14191.8822773606
21527,4,2.2,0,1,1,14401.9069288085
21627,4,2.2,0,1,1,14175.8790788752
6114,4,2.2,1,1,1,14429.7896427032
6709,4,2.2,1,1,1,14696.0289897965
7115,4,2.2,1,1,1,14582.7691222953
9561,4,2.2,0,1,1,14194.8236036111
15233,4,2.2,0,1,1,14072.135231942
17270,4,2.2,0,1,1,13994.906458446
17594,4,2.2,0,1,1,13830.2490247204
22740,4,2.2,1,1,1,13159.8215441932
26204,4,2.2,0,1,1,12495.9707512187
28683,4,2.2,0,1,1,12678.853974694
3625,8,6,1,1,1,46732.6060296375
5239,8,6,1,1,1,47065.2099128135
12115,8,6,1,0,1,44749.6867932853
14546,8,6,1,1,1,42773.0283900247
20000,8,6,1,0,1,41371.3792727352
23826,8,6,1,1,1,39547.5878996389
25169,8,6,1,1,1,39691.7274009474
25960,8,6,1,0,1,38824.8690859321
30502,8,6,1,1,1,36970.8980474434
32039,8,6,1,1,1,37288.9367376769
7054,8,6,1,0,1,39875.8542553224
8967,8,6,1,1,1,39713.6679219378
9410,8,6,1,1,1,38990.6073346213
10717,8,6,1,1,1,39092.1899183221
11619,8,6,1,1,1,39365.8832384862
21350,8,6,1,1,1,35261.436430686
22740,8,6,1,0,1,35575.417048945
24259,8,6,1,0,1,34297.3053502994
25747,8,6,1,0,1,34739.2149603993
34191,8,6,1,0,1,31186.741462751
1853,6,3.8,1,0,0,21757.049509258
14115,6,3.8,1,1,0,19528.1004334074
18198,6,3.8,1,0,1,19075.6787522022
18795,6,3.8,1,1,1,19409.7526074867
19874,6,3.8,1,1,0,18527.2089705632
21512,6,3.8,1,1,0,18912.9815981283
25453,6,3.8,1,0,1,17839.8007705925
26980,6,3.8,1,1,0,17789.3467308115
29368,6,3.8,1,1,0,17294.181001319
29420,6,3.8,1,1,1,18083.3962990146
1787,6,3.8,1,0,0,20021.1952055266
8211,6,3.8,1,0,1,18835.1897611439
14054,6,3.8,1,1,1,18727.5083766846
19498,6,3.8,1,0,0,16805.057392224
21567,6,3.8,1,0,1,17154.5764616521
22383,6,3.8,1,1,1,16644.0878730491
26070,6,3.8,1,1,1,15951.8111690734
27460,6,3.8,1,1,1,16508.5906948624
31202,6,3.8,1,1,1,15832.5183481771
33357,6,3.8,1,1,1,15554.2831291178
636,6,3.8,1,0,0,25948.9625940461
5379,6,3.8,1,1,0,27714.0502451392
14461,6,3.8,1,1,1,25097.4732491841
16111,6,3.8,1,0,0,24809.0423236228
22964,6,3.8,1,1,1,23345.32906904
26272,6,3.8,1,1,1,22894.4386761484
27384,6,3.8,1,1,1,22064.292185651
27940,6,3.8,1,0,0,23151.5461397874
28242,6,3.8,1,1,1,22120.7577646413
33892,6,3.8,1,0,0,20294.5768249992
5936,6,3.5,0,1,1,18957.8900428954
8687,6,3.5,0,1,1,18950.9069845001
17020,6,3.5,0,1,1,17891.633775413
19386,6,3.5,1,1,1,17801.2295282699
19740,6,3.5,1,1,1,16723.9938818438
21829,6,3.5,0,1,1,16744.0302525506
23460,6,3.5,0,1,1,16825.1908819897
24583,6,3.5,0,1,1,16543.9801372896
26532,6,3.5,1,1,1,16143.9572923393
33906,6,3.5,0,1,1,14914.201280944
1480,6,3.5,1,1,1,19164.6106273539
7961,6,3.5,0,1,1,18800.9588988123
15144,6,3.5,1,1,1,17458.2215292051
21417,6,3.5,0,1,1,17158.9219978811
21675,6,3.5,1,1,1,16472.8976475979
23621,6,3.5,0,1,1,16993.78032811
25697,6,3.5,1,1,1,16300.4652398485
27476,6,3.5,0,1,1,15623.2002730477
32462,6,3.5,0,1,1,15138.4008240242
32535,6,3.5,0,1,1,15233.159870989
6608,6,3.5,1,1,1,19471.9748521674
15190,6,3.5,0,1,1,18009.846031675
16335,6,3.5,0,1,1,18273.006133669
17441,6,3.5,0,1,1,18311.7563023413
18451,6,3.5,0,1,1,17553.7536839839
18771,6,3.5,0,1,1,18004.8704147535
19490,6,3.5,1,1,1,17663.2249529278
24461,6,3.5,0,1,1,17115.1220306392
24905,6,3.5,1,1,1,16988.3030634522
25874,6,3.5,1,1,1,16803.1227498612
932,6,3.5,0,1,1,19446.8829407428
18277,6,3.5,1,1,1,17119.4575724122
19593,6,3.5,1,1,1,17316.0966034412
19883,6,3.5,1,1,1,16860.8707794215
21420,6,3.5,1,1,1,17312.9071543366
23133,6,3.5,1,1,1,16403.253626802
24218,6,3.5,1,1,1,16536.7438751172
25394,6,3.5,0,1,1,16341.8040992783
26328,6,3.5,1,1,1,16713.984689313
28239,6,3.5,0,1,1,16295.211437549
5632,6,3.5,0,1,1,18974.9220296354
7397,6,3.5,1,1,1,18324.8319253823
7645,6,3.5,0,1,1,19581.2314137813
14754,6,3.5,0,1,1,18169.3754824501
17488,6,3.5,0,1,1,17986.2240909417
18721,6,3.5,0,1,1,17173.9423218235
20200,6,3.5,0,1,1,16456.9746438978
21452,6,3.5,0,1,1,16267.0948891087
22841,6,3.5,1,1,1,16860.0943255059
22889,6,3.5,0,1,1,16027.286487323
8732,6,3.5,0,1,1,17089.9188296993
11393,6,3.5,1,1,1,17463.046080588
14579,6,3.5,1,1,1,17218.6857498601
15903,6,3.5,0,1,1,17162.4782553752
17451,6,3.5,0,1,1,16507.0702674881
18562,6,3.5,1,1,1,16752.5144032522
20154,6,3.5,0,1,1,16646.7707992652
21272,6,3.5,1,1,1,15623.9197645756
25787,6,3.5,1,1,1,15664.6249047546
25956,6,3.5,0,1,1,15680.8644260064
5827,6,3.8,1,0,0,18800.0931025943
8345,6,3.8,1,0,1,18910.8042859922
10414,6,3.8,1,1,0,19177.4120635113
11647,6,3.8,1,0,1,18040.1440064688
15898,6,3.8,1,0,0,17685.2009949316
18602,6,3.8,1,0,0,17515.3975894289
23491,6,3.8,1,1,0,16357.9923216692
25931,6,3.8,1,1,0,16345.9437469065
26700,6,3.8,1,1,0,15797.1957603831
33345,6,3.8,1,0,0,15503.5087961695
7065,6,3.8,1,1,0,21745.0294409433
13457,6,3.8,1,1,0,21725.0107490518
14788,6,3.8,1,1,1,22384.1186917714
16950,6,3.8,1,0,0,20537.1417181204
17337,6,3.8,1,1,1,21233.911355975
18021,6,3.8,1,0,1,20676.1655109484
22152,6,3.8,1,1,1,20839.1499654655
22729,6,3.8,1,0,0,20017.9684301873
27218,6,3.8,1,1,0,18876.8706536779
39049,6,3.8,1,0,1,17586.9285826976
12466,6,3.8,1,1,0,23573.8220022015
14948,6,3.8,1,1,0,23527.7285024945
21992,6,3.8,1,1,0,22113.628024091
22626,6,3.8,1,1,0,22470.3584295684
24067,6,3.8,1,0,0,20619.1140102242
24665,6,3.8,1,1,0,20047.9513612262
25020,6,3.8,1,1,1,21525.3390083458
25240,6,3.8,1,1,1,20382.1503095689
25550,6,3.8,1,1,1,21020.8367766062
26223,6,3.8,1,1,1,20221.8088112824
11892,8,4.6,1,0,1,25452.473854577
17273,8,4.6,1,0,1,23449.306325765
19148,8,4.6,1,0,1,23578.1648606715
19521,8,4.6,1,1,1,22525.2697215027
20472,8,4.6,1,1,1,21982.6477082653
21929,8,4.6,1,1,1,22231.5631514943
25651,8,4.6,1,0,1,22189.1159710833
25794,8,4.6,1,0,1,21765.066579225
27168,8,4.6,1,0,1,21403.7564223375
31197,8,4.6,1,1,1,21200.6902072266
11554,6,3.8,1,0,1,19682.0350106485
16496,6,3.8,1,1,0,18678.4141227383
17583,6,3.8,1,1,0,20318.8909731314
18419,6,3.8,1,1,1,20127.0441847493
20510,6,3.8,1,0,1,19751.041430836
21121,6,3.8,1,1,0,17844.7307707838
22423,6,3.8,1,1,0,18856.0186905559
24747,6,3.8,1,1,1,18566.070703281
27574,6,3.8,1,0,0,18063.0049108529
28385,6,3.8,1,1,1,17768.0595054329
2295,6,3.8,1,1,1,23197.4367899745
5653,6,3.8,1,0,0,23102.0223672481
8928,6,3.8,1,0,1,22460.5299963042
11069,6,3.8,1,0,1,21607.7725655548
15516,6,3.8,1,1,1,22004.9304375367
19419,6,3.8,1,1,0,20830.9942960647
22891,6,3.8,1,1,1,20109.904121275
26252,6,3.8,1,0,1,19116.1310873998
27077,6,3.8,1,1,0,19689.7408440044
27966,6,3.8,1,0,1,19338.3759975728
4537,6,3.5,1,1,0,21903.3226175196
5690,6,3.5,1,1,1,22736.8344688719
9049,6,3.5,1,1,1,22104.9735713078
11221,6,3.5,1,1,1,22311.0495129621
12313,6,3.5,1,0,1,21875.0976308299
20770,6,3.5,1,1,1,20627.6616890792
22628,6,3.5,1,1,0,19540.2447885739
26477,6,3.5,1,0,1,19204.8093414195
28354,6,3.5,1,0,0,18158.083129084
30063,6,3.5,1,0,1,18529.3421171141
7287,6,3.5,1,1,1,21383.0671604967
10338,6,3.5,1,0,0,20452.6694749486
11204,6,3.5,1,1,0,20677.5938191944
19539,6,3.5,1,0,0,19294.787504345
20870,6,3.5,1,0,0,18548.9785926424
21702,6,3.5,1,0,0,18042.2210743654
25516,6,3.5,1,0,1,18620.8713666287
30404,6,3.5,1,0,0,17023.9368652855
35624,6,3.5,1,1,0,16216.9807055563
41566,6,3.5,1,1,1,15792.8314368682
881,6,3.4,0,1,1,17360.8106352797
5131,6,3.4,0,1,1,17675.8374881408
6761,6,3.4,1,1,1,17141.9411581897
9380,6,3.4,0,1,1,17202.8340553044
12071,6,3.4,1,1,1,16792.6795290731
18315,6,3.4,0,1,1,15595.8841326384
20917,6,3.4,1,1,1,15253.8685660807
22414,6,3.4,0,1,1,15594.8068443375
22641,6,3.4,1,1,1,15059.1340772545
23335,6,3.4,0,1,1,14703.1368681684
3946,4,2.2,1,1,1,15979.0148367598
4188,4,2.2,1,1,1,16379.8530040609
4318,4,2.2,0,1,1,15327.1003205085
5350,4,2.2,0,1,1,15846.0127123376
5788,4,2.2,1,1,1,15604.1458156892
12420,4,2.2,0,1,1,14841.9170489417
13262,4,2.2,0,1,1,15077.1758437743
19602,4,2.2,0,1,1,13961.1116418757
23976,4,2.2,0,1,1,13034.068527551
24542,4,2.2,0,1,1,13162.8520539716
16554,6,3.8,1,1,1,18254.9227722623
18720,6,3.8,1,0,0,17095.0352244258
20829,6,3.8,1,0,0,17162.8734405908
21304,6,3.8,1,1,0,16391.1717145607
25295,6,3.8,1,1,0,15788.1047803614
25777,6,3.8,1,0,0,16569.1412397366
25830,6,3.8,1,0,1,16997.6937411667
26511,6,3.8,1,0,1,16283.9589911707
29925,6,3.8,1,1,0,15457.1705915318
31471,6,3.8,1,1,0,14963.0456187938
11229,6,3.8,1,1,0,21230.9779853445
12314,6,3.8,1,1,0,22100.3931734919
12772,6,3.8,1,1,0,21300.0194493808
17417,6,3.8,1,1,1,21281.8804875931
21132,6,3.8,1,1,1,19646.7174784512
21211,6,3.8,1,0,1,20173.9063294114
24992,6,3.8,1,0,0,18701.2226154063
25557,6,3.8,1,0,1,19423.1650215408
26028,6,3.8,1,1,0,19956.7584132916
27721,6,3.8,1,0,1,19448.2263302242
1592,6,3.8,1,1,0,19822.1153919822
2189,6,3.8,1,1,1,19567.2592910525
17959,6,3.8,1,0,0,16853.1078490971
20751,6,3.8,1,1,1,16516.9555490351
21974,6,3.8,1,0,0,15979.0148367598
22637,6,3.8,1,0,0,16256.2361676087
23989,6,3.8,1,0,0,15724.2521703931
25598,6,3.8,1,0,0,15967.2454000765
27800,6,3.8,1,1,0,16041.6855860789
29325,6,3.8,1,1,0,15756.1461296533
9185,8,5.7,1,1,1,32422.7613757601
10915,8,5.7,1,1,1,32219.5892845264
13678,8,5.7,1,1,1,31024.8721145769
16193,8,5.7,1,0,1,29595.7942878666
21418,8,5.7,1,0,1,29664.7026869627
23886,8,5.7,1,0,1,27425.8439125687
24960,8,5.7,1,1,1,27370.9581106487
26126,8,5.7,1,1,1,27548.6296095248
27199,8,5.7,1,1,1,28502.306108682
36480,8,5.7,1,1,1,25527.0130266125
13145,4,2.2,0,1,1,13160.124563771
17830,4,2.2,1,1,1,12830.0987783096
19081,4,2.2,1,1,1,12828.030977366
19225,4,2.2,1,1,1,12878.0468289161
20618,4,2.2,1,1,1,12832.4623875345
21891,4,2.2,1,1,1,12464.0734613058
23931,4,2.2,0,1,1,12465.5085234005
24318,4,2.2,1,1,1,12258.8575923946
25285,4,2.2,0,1,1,11903.0977471736
26097,4,2.2,0,1,1,12209.5596229611
18096,4,1.8,1,1,0,16391.9265732948
18391,4,1.8,0,1,1,16033.9306184793
19465,4,1.8,1,0,0,16106.8272209155
19531,4,1.8,1,1,1,16551.2195659553
19894,4,1.8,1,0,0,17325.269542955
22779,4,1.8,0,0,1,16078.6654905256
23062,4,1.8,0,0,0,15297.8359728759
24239,4,1.8,1,0,0,15505.2938063331
27887,4,1.8,0,0,0,15174.3466125685
33374,4,1.8,0,1,1,14546.8848142459
